group	PANEL	clickSelects	colour	fill	key	showSelected2
1	3	Andorra	#C49A00	#C49A00	Andorra	Europe & Central Asia
1	3	United Arab Emirates	#00C094	#00C094	United Arab Emirates	Middle East & North Africa
1	3	Afghanistan	#A58AFF	#A58AFF	Afghanistan	South Asia
1	3	Antigua and Barbuda	#53B400	#53B400	Antigua and Barbuda	Latin America & Caribbean
1	3	Albania	#C49A00	#C49A00	Albania	Europe & Central Asia
1	3	Armenia	#C49A00	#C49A00	Armenia	Europe & Central Asia
1	3	Angola	#FB61D7	#FB61D7	Angola	Sub-Saharan Africa
1	3	Argentina	#53B400	#53B400	Argentina	Latin America & Caribbean
1	3	American Samoa	#F8766D	#F8766D	American Samoa	East Asia & Pacific
1	3	Austria	#C49A00	#C49A00	Austria	Europe & Central Asia
1	3	Australia	#F8766D	#F8766D	Australia	East Asia & Pacific
1	3	Aruba	#53B400	#53B400	Aruba	Latin America & Caribbean
1	3	Azerbaijan	#C49A00	#C49A00	Azerbaijan	Europe & Central Asia
1	3	Bosnia and Herzegovina	#C49A00	#C49A00	Bosnia and Herzegovina	Europe & Central Asia
1	3	Barbados	#53B400	#53B400	Barbados	Latin America & Caribbean
1	3	Bangladesh	#A58AFF	#A58AFF	Bangladesh	South Asia
1	3	Belgium	#C49A00	#C49A00	Belgium	Europe & Central Asia
1	3	Burkina Faso	#FB61D7	#FB61D7	Burkina Faso	Sub-Saharan Africa
1	3	Bulgaria	#C49A00	#C49A00	Bulgaria	Europe & Central Asia
1	3	Bahrain	#00C094	#00C094	Bahrain	Middle East & North Africa
1	3	Burundi	#FB61D7	#FB61D7	Burundi	Sub-Saharan Africa
1	3	Benin	#FB61D7	#FB61D7	Benin	Sub-Saharan Africa
1	3	Bermuda	#00B6EB	#00B6EB	Bermuda	North America
1	3	Brunei Darussalam	#F8766D	#F8766D	Brunei Darussalam	East Asia & Pacific
1	3	Bolivia	#53B400	#53B400	Bolivia	Latin America & Caribbean
1	3	Brazil	#53B400	#53B400	Brazil	Latin America & Caribbean
1	3	Bahamas, The	#53B400	#53B400	Bahamas, The	Latin America & Caribbean
1	3	Bhutan	#A58AFF	#A58AFF	Bhutan	South Asia
1	3	Botswana	#FB61D7	#FB61D7	Botswana	Sub-Saharan Africa
1	3	Belarus	#C49A00	#C49A00	Belarus	Europe & Central Asia
1	3	Belize	#53B400	#53B400	Belize	Latin America & Caribbean
1	3	Canada	#00B6EB	#00B6EB	Canada	North America
1	3	Congo, Dem. Rep.	#FB61D7	#FB61D7	Congo, Dem. Rep.	Sub-Saharan Africa
1	3	Central African Republic	#FB61D7	#FB61D7	Central African Republic	Sub-Saharan Africa
1	3	Congo, Rep.	#FB61D7	#FB61D7	Congo, Rep.	Sub-Saharan Africa
1	3	Switzerland	#C49A00	#C49A00	Switzerland	Europe & Central Asia
1	3	Cote d'Ivoire	#FB61D7	#FB61D7	Cote d'Ivoire	Sub-Saharan Africa
1	3	Chile	#53B400	#53B400	Chile	Latin America & Caribbean
1	3	Cameroon	#FB61D7	#FB61D7	Cameroon	Sub-Saharan Africa
1	3	China	#F8766D	#F8766D	China	East Asia & Pacific
1	3	Colombia	#53B400	#53B400	Colombia	Latin America & Caribbean
1	3	Costa Rica	#53B400	#53B400	Costa Rica	Latin America & Caribbean
1	3	Cuba	#53B400	#53B400	Cuba	Latin America & Caribbean
1	3	Cape Verde	#FB61D7	#FB61D7	Cape Verde	Sub-Saharan Africa
1	3	Curacao	#53B400	#53B400	Curacao	Latin America & Caribbean
1	3	Cyprus	#C49A00	#C49A00	Cyprus	Europe & Central Asia
1	3	Czech Republic	#C49A00	#C49A00	Czech Republic	Europe & Central Asia
1	3	Germany	#C49A00	#C49A00	Germany	Europe & Central Asia
1	3	Djibouti	#00C094	#00C094	Djibouti	Middle East & North Africa
1	3	Denmark	#C49A00	#C49A00	Denmark	Europe & Central Asia
1	3	Dominica	#53B400	#53B400	Dominica	Latin America & Caribbean
1	3	Dominican Republic	#53B400	#53B400	Dominican Republic	Latin America & Caribbean
1	3	Algeria	#00C094	#00C094	Algeria	Middle East & North Africa
