x	y	label	showSelected1	PANEL
1985.5	1985.5	1960	1960	2
1985.5	1985.5	1961	1961	2
1985.5	1985.5	1962	1962	2
1985.5	1985.5	1963	1963	2
1985.5	1985.5	1964	1964	2
1985.5	1985.5	1965	1965	2
1985.5	1985.5	1966	1966	2
1985.5	1985.5	1967	1967	2
1985.5	1985.5	1968	1968	2
1985.5	1985.5	1969	1969	2
1985.5	1985.5	1970	1970	2
1985.5	1985.5	1971	1971	2
1985.5	1985.5	1972	1972	2
1985.5	1985.5	1973	1973	2
1985.5	1985.5	1974	1974	2
1985.5	1985.5	1975	1975	2
1985.5	1985.5	1976	1976	2
1985.5	1985.5	1977	1977	2
1985.5	1985.5	1978	1978	2
1985.5	1985.5	1979	1979	2
1985.5	1985.5	1980	1980	2
1985.5	1985.5	1981	1981	2
1985.5	1985.5	1982	1982	2
1985.5	1985.5	1983	1983	2
1985.5	1985.5	1984	1984	2
1985.5	1985.5	1985	1985	2
1985.5	1985.5	1986	1986	2
1985.5	1985.5	1987	1987	2
1985.5	1985.5	1988	1988	2
1985.5	1985.5	1989	1989	2
1985.5	1985.5	1990	1990	2
1985.5	1985.5	1991	1991	2
1985.5	1985.5	1992	1992	2
1985.5	1985.5	1993	1993	2
1985.5	1985.5	1994	1994	2
1985.5	1985.5	1995	1995	2
1985.5	1985.5	1996	1996	2
1985.5	1985.5	1997	1997	2
1985.5	1985.5	1998	1998	2
1985.5	1985.5	1999	1999	2
1985.5	1985.5	2000	2000	2
1985.5	1985.5	2001	2001	2
1985.5	1985.5	2002	2002	2
1985.5	1985.5	2003	2003	2
1985.5	1985.5	2004	2004	2
1985.5	1985.5	2005	2005	2
1985.5	1985.5	2006	2006	2
1985.5	1985.5	2007	2007	2
1985.5	1985.5	2008	2008	2
1985.5	1985.5	2009	2009	2
1985.5	1985.5	2010	2010	2
1985.5	1985.5	2011	2011	2
